name,status,slot,genre,hours,satisfaction,comment,start_date,end_date,price,priority
테니스 엘보우 4,playing,A,스포츠,,,,202601,,,
발더스 게이트 3,playing,AAA,"TRPG, 어드벤쳐",80,,,20250126,,,
스냅,paused,-,카드,100,4.0,,202200,,,
컴프야 v26,playing,A,"스포츠, 모바일",,,,202502,,,
컴투스 프로야구 v25,dropped,-,"스포츠, 모바일",50,3.2,,20250329,20250415,,
super mega baseball 4,wishlist,-,스포츠,,,,202601,,,
against the storm,paused,-,"로그라이크, 시뮬레이션",,,,202509,,,
오버워치 2,wishlist,-,"멀티합동, 슈팅 액션",200,3.5,,202200,,,
컨트롤,wishlist,-,3D ARPG,,,,,,,
몬스터 헌터 : 월드,paused,-,3D ARPG,3.0,,,20250126,,,
몬스터 헌터 : 라이즈,wishlist,-,3D ARPG,,,,,,,
PC 빌딩 시뮬레이터,paused,-,시뮬레이션,,,,202200,,,
eastern exorcist,completed,-,슈팅 액션,16.0,3.5,,202601,202601,,
디트로이트 비컴 휴먼,completed,-,"3D ARPG, 어드벤쳐",10.0,4.5,,202601,202601,,
호그와트 레가시,completed,-,어드벤쳐,53.0,,,202511,202601,,
disco elysium,completed,-,"추리, 오픈월드",26.0,2.5,,202601,202601,,
인스크립션,completed,-,"로그라이크, 카드",28.0,1.0,,202511,202512,,
스타크래프트,completed,-,RTS,20.0,,,202511,202512,,
GTA5,completed,-,3D ARPG,50.0,3.0,,20251012,202511,,
킹덤 컴 딜리버런스,completed,-,"3D ARPG, 시뮬레이션",53.0,1.0,,20250801,20251001,,
폴아웃 3,other,-,3D ARPG,35.0,4.0,,202200,20251012,,
언차티드,completed,-,어드벤쳐,21.0,4.5,,20250702,20250716,,
갓 오브 워,completed,-,3D ARPG,49.0,4.8,,20250501,20250701,,
휴먼 카인드,dropped,-,시뮬레이션,5.0,,,20250726,20250727,,
마비노기 모바일,dropped,-,"mmo rpg, 모바일",30,3.0,,20250415,202505,,
세키로,completed,-,"3D ARPG, 소울라이크",86.0,3.6,,20250102,20250126,,
데이즈곤,completed,-,"3D ARPG, 슈팅 액션",103.0,4.4,,202411,202501,,
어크 발할라,completed,-,3D ARPG,240.0,2.3,,202211,202411,,
엘든링,completed,-,"3D ARPG, 소울라이크",137.0,3.9,,202311,202401,,
위쳐 3,completed,-,"3D ARPG, 어드벤쳐",288.0,4.9,,202200,202312,,
산소미포함,dropped,-,"생존, RTS",,,,202300,,,
문명 6,completed,-,시뮬레이션,,,,,,,
문명 5,completed,-,시뮬레이션,,,,,,,
바이오 쇼크 1,wishlist,-,어드벤쳐,,,,,,,
툼레이더,wishlist,-,3D ARPG,,,,,,,
어크 2,wishlist,-,3D ARPG,,,,,,,
어크 브라더 후드,wishlist,-,3D ARPG,,,,,,,
파크라이 3,wishlist,-,3D ARPG,,,,,,,
바이오 쇼크 2,wishlist,-,어드벤쳐,,,,,,,
플레이그 테일 이노센스,wishlist,-,어드벤쳐,,,,,,,
파크라이 4,wishlist,-,3D ARPG,,,,,,,
어크 4 블랙 플래그,wishlist,-,3D ARPG,,,,,,,
다잉라이트 1,wishlist,-,3D ARPG,,,,,,,
라이즈 오브 툼레이더,wishlist,-,3D ARPG,,,,,,,
어크,wishlist,-,3D ARPG,,,,,,,
워치독 2,wishlist,-,3D ARPG,,,,,,,
메트로 last light,wishlist,-,3D ARPG,,,,,,,
메트로 2033,wishlist,-,3D ARPG,,,,,,,
히트맨 3,wishlist,-,"어드벤쳐, 시뮬레이션",,,,,,,
히트맨 2,wishlist,-,"어드벤쳐, 시뮬레이션",,,,,,,
파크라이 2,wishlist,-,3D ARPG,,,,,,,
메트로 exodus,wishlist,-,3D ARPG,,,,,,,
섀도우 오브 툼레이더,wishlist,-,3D ARPG,,,,,,,
드래곤 에이지 : 인퀴지션,wishlist,-,3D ARPG,,,,,,,
파크라이 5,wishlist,-,3D ARPG,,,,,,,
데스스트랜딩,wishlist,-,3D ARPG,,,,,,,
파크라이 1,wishlist,-,3D ARPG,,,,,,,
어크 유니티,wishlist,-,3D ARPG,,,,,,,
월드워z,wishlist,-,3D ARPG,,,,,,,
어크 3,wishlist,-,3D ARPG,,,,,,,
렘난트,wishlist,-,3D ARPG,,,,,,,
어크 로그,wishlist,-,3D ARPG,,,,,,,
어크 레벨레이션,wishlist,-,3D ARPG,,,,,,,
칼리스토 프로토콜,wishlist,-,3D ARPG,,,,,,,
다잉라이트 2,wishlist,-,3D ARPG,,,,,,,
파크라이 6,wishlist,-,3D ARPG,,,,,,,
워치독 1,wishlist,-,3D ARPG,,,,,,,
콜옵듀티 시리즈,wishlist,-,"3D ARPG, 슈팅 액션",,,,,,,
히트맨 1,wishlist,-,"어드벤쳐, 시뮬레이션",,,,,,,
리틀 나이트메어 ,wishlist,-,"어드벤쳐, 공포",,,,,,,
어크 오디세이,completed,-,3D ARPG,200.0,4.4,,202200,202403,,
어크 오리진,completed,-,3D ARPG,150.0,4.1,,202200,202402,,
레드 데드 리뎀션 2,completed,-,3D ARPG,200.0,4.0,,202300,202300,,
호라이즌 : 제로 던,completed,-,"3D ARPG, 어드벤쳐",100.0,4.2,,202300,202300,,
철권7,completed,-,대전 액션,33.0,3.0,,202401,202403,,
시푸,completed,-,"로그라이크, 대전 액션",200.0,4.8,,202306,202311,,
하데스,completed,-,로그라이크,200.0,4.6,,202303,202306,,
엔터더 건전,completed,-,슈팅 액션,200.0,4.9,,202100,202200,,
슬레이더스파이어,completed,-,"카드, 로그라이크",182.0,4.0,,202403,202409,,
콜오브듀티 WWII,completed,-,"3D ARPG, 슈팅 액션",9.0,2.1,,202300,20250201,,
